code,name,close,volume
AACG,Ata Creativity Global,1.150,"32,600"
AACQ,Artius Acquisition Inc Cl A,9.890,"32,800"
AACQU,Artius Acquisition Inc Unit,10.26,"45,900"
AACQW,Artius Acquisition Inc WT,1.250,"57,300"
AAL,American Airlines Gp,12.53,"58,685,500"
AAME,Atlantic Amer Cp,2.210,"5,100"
AAOI,Applied Optoelect,7.920,"690,000"
AAON,Aaon Inc,65.47,"377,900"
AAPL,Apple Inc,117.3,"73,604,200"
AAWW,Atlas Air Ww,53.40,"536,200"
AAXJ,All Country Asia Ex Japan Ishares MSCI,85.77,"643,800"
AAXN,Axon Inc,124.8,"406,200"
ABCB,Ameris Bancorp,33.91,"261,800"
ABCM,Abcam Plc ADR,19.09,"46,700"
ABEO,Abeona Therapeutics,1.370,"1,052,600"
ABIO,Arca Biopharma Inc,3.890,"318,900"
ABMD,Abiomed Inc,268.2,"167,400"
ABST,Absolute Software Cp,9.830,"127,500"
ABTX,Allegiance Banc CS,31.44,"42,300"
ABUS,Arbutus Biopharma Cp,3.360,"771,600"
ACACU,Acies Acquisition Corp,9.983,"7,800"
ACAD,Acadia Pharmaceutica,53.57,"932,200"
ACAM,Acamar Partners Acquisition Corp Cl A,10.17,"438,700"
ACAMU,Acamar Partners Acquisition Corp Units,10.42,"2,300"
ACAMW,Acamar Partners Acquisition Corp WT,1.240,"39,900"
ACBI,Atlantic Capital,15.59,"94,700"
ACCD,Accolade Inc,48.93,"381,000"
ACER,Acer Therapeutics Inc,2.730,"38,600"
ACET,Adicet Bio Inc,12.80,"27,200"
ACEV,Ace Convergence Acquisition Corp. Cl A,9.690,"9,600"
ACEVU,Ace Convergence Acquisition Corp,10.09,"1,600"
ACEVW,Ace Convergence Acquisition Corp WT,0.8499,"27,800"
ACGL,Arch Capital Grp Ltd,33.97,"1,942,000"
ACGLO,Arch Capital Group Ltd ADR,26.89,"30,900"
ACGLP,Arch Capital Group Ltd,25.95,"22,400"
ACHC,Acadia Healthcr Company,43.11,"463,200"
ACHV,Achieve Life Sciences Inc,9.080,"189,600"
ACIA,Acacia Communica,69.47,"1,849,600"
ACIU,AC Immune S.A.,5.430,"119,800"
ACIW,Aci Worldwide Inc,32.13,"1,376,200"
ACLS,Axcelis Tech Inc,26.40,"190,200"
ACMR,Acm Research Inc,75.23,"187,500"
ACNB,Acnb Corp,25.64,"16,200"
ACOR,Acorda Therapeutics,0.7061,"2,689,000"
ACRS,Aclaris Therapts,3.090,"266,000"
ACRX,Acelrx Pharmaceutica,1.520,"730,000"
ACST,Acasti Pharma,0.2408,"21,363,300"
ACT,Advisorshares Vice ETF,27.04,500
ACTCU,Arclight Clean Transition Corp,10.04,"89,700"
ACTG,Acacia Res-Acacia,3.700,"140,800"
ACWI,ACWI Ishares MSCI ETF,86.35,"5,055,600"
ACWX,ACWI Ex US Ishares MSCI ETF,50.80,"1,119,100"
ADAP,Adaptimmune Ther Ads,4.970,"1,340,300"
ADBE,Adobe Systems Inc,462.9,"1,851,100"
ADES,Advanced Emissions Solutions Inc,5.500,"100,300"
ADI,Analog Devices,134.9,"2,295,700"
ADIL,Adial Pharmaceuticals Inc,1.730,"198,700"
ADILW,Adial Pharmaceuticals Inc WT,0.2999,600
ADMA,Adma Biologics,1.850,"2,182,100"
ADMP,Adamis Pharmaceuticl,0.4093,"3,569,800"
ADMS,Adamas Pharma,4.350,"105,300"
ADOCU,Edoc Acquisition Corp,10.11,"22,200"
ADP,Automatic Data Procs,171.3,"1,477,100"
ADPT,Adaptive Biotechnologies Corp,46.40,"681,400"
ADRE,Bldrs Emerging Markets 50 ADR ETF,53.26,"30,300"
ADSK,Autodesk Inc,254.9,"1,458,500"
ADTN,Adtran Inc,12.17,"153,800"
ADTX,Aditx Therapeutics Inc,1.950,"1,601,900"
ADUS,Addus Homecare Corp,95.49,"55,000"
ADV,Advantage Solutions Inc,9.900,"289,200"
ADVM,Adverum Biotechnlgs,13.00,"723,000"
ADVWW,Advantage Solutions Inc WT,1.550,"32,600"
ADXN,Addex Therapeutics Ltd ADR,12.00,"3,500"
ADXS,Advaxis Inc,0.3845,"888,900"
AEGN,Aegion Corp,16.85,"87,400"
AEHL,Antelope Enterprise Hldg Ltd,2.110,"428,400"
AEHR,Aehr Test Systems,1.540,"107,500"
AEIS,Advanced Energy,90.09,"212,400"
AEMD,Aethlon Medical,1.540,"146,700"
AEP,American Electric Power Company,82.49,"5,841,300"
AEPPL,American Elec Pwr CO Inc [Aep/Pb],49.90,"49,100"
AEPPZ,American Electric Power Company Inc,49.21,"58,600"
AERI,Aerie Pharmaceuticals,12.05,"651,200"
AESE,Allied Esports Entertainment Inc,0.9610,"666,900"
AEY,Addvantage Techs Group,2.160,"129,000"
AEYE,Audioeye Inc,17.20,"83,100"
AEZS,Aeterna Zentaris,0.4199,"25,647,400"
AFIB,Acutus Medical Inc,26.75,"142,000"
AFIN,American Finance Trust Inc Cl A,7.500,"399,700"
AFINP,American Finance Trust Inc Pfd Ser A,24.83,"43,000"
AFMD,Affimed N.V.,4.940,"2,024,500"
AFYA,Afya Ltd Cl A,27.70,"243,200"
AGBA,Agba Acquisition Ltd,10.33,"14,800"
AGBAR,Agba Acquisition Ltd Right,0.2310,100
AGBAU,Agba Acquisition Ltd,10.55,400
AGBAW,Agba Acquisition Ltd WT,0.2390,"35,300"
AGCUU,Altimeter Growth Corp,12.00,"26,500"
AGEN,Agenus Inc,3.650,"2,226,200"
AGFS,Agrofresh Solutions,2.240,"67,900"
AGIO,Agios Pharmaceuticals,43.59,"653,800"
AGLE,Aeglea Biothera,8.630,"114,500"
AGMH,Agm Group Holdings Inc Cl A,15.19,"7,500"
AGNC,American Capital Age,15.21,"4,404,200"
AGNCM,Agnc Investment Corp Cum Red Pfd Ser D,23.23,"44,400"
AGNCN,Agnc Investment Corp,23.78,"24,800"
AGNCO,Agnc Investment Corp Fxdfr Prf Perpetual,22.62,"108,200"
AGNCP,Agnc Investment Corp,21.87,"70,000"
AGRX,Agile Therap,2.830,"663,000"
AGTC,Applied Genetic Tech,3.990,"536,800"
AGYS,Agilysys Inc,40.66,"395,900"
AGZD,Wisdomtree Int Rate US Agg Bond Fund,47.14,"2,100"
AHACU,Alpha Healthcare Acquisition Corp,9.850,"546,700"
AHCO,Adapthealth Corp Cl. A,29.98,"362,200"
AHPI,Allied Healthcare,4.980,"299,100"
AIA,Asia 50 Ishares ETF,82.07,"48,900"
AIH,Aesthetic Medical International Holdings,4.850,"50,100"
AIHS,Senmiao Technology Ltd,1.130,"3,515,200"
AIKI,Alkido Pharma Inc,0.5120,"654,600"
AIMC,Altra Indtl Mtn,53.81,"400,500"
AINV,Apollo Investment Company,10.58,"449,800"
AIQ,Global X Future Analytics Tech ETF,25.32,"46,100"
AIRG,Airgain Inc,13.29,"30,000"
AIRR,Rba American Industrial Renaissance ETF,31.07,"10,000"
AIRT,Air T Inc,10.80,"1,200"
AIRTP,Air T Inc Funding Alpha Income Trust,22.90,300
AIRTW,Air T Inc Funding WT,0.0300,"18,500"
AKAM,Akamai Technologies,102.3,"1,494,300"
AKBA,Akebia Therapeutics,2.880,"4,523,800"
AKER,Akers Biosciences,1.870,"929,800"
AKRO,Akero Therapeutics Inc,28.93,"124,200"
AKTS,Akoustis Technologies Inc,7.920,"527,800"
AKTX,Akari Therapeutics,1.590,"72,200"
AKU,Akumin Inc,3.300,"66,900"
AKUS,Akouos Inc,19.09,"100,300"
ALAC,Alberton Acquisition Corp,10.76,"1,100"
ALACR,Alberton Acquisition Corp Rights,0.3300,"24,400"
ALACU,Alberton Acquisition Corp Unit,11.20,"1,000"
ALACW,Alberton Acquisition Corp WT,0.3800,"64,300"
ALBO,Albireo Pharma Inc,35.18,"138,700"
ALCO,Alico Inc,31.13,"13,400"
ALDX,Aldeyra Therapeu,6.760,"248,900"
ALEC,Alector Inc,12.63,"382,300"
ALGM,Allegro Microsystems Inc,22.79,"851,700"
ALGN,Align Technology,446.5,"560,100"
ALGS,Aligos Therapeutics Inc,19.47,"144,000"
ALGT,Allegiant Travel Com,154.9,"125,600"
ALIM,Alimera Sciences Inc,4.750,"38,100"
ALJJ,Alj Regional Hold,1.110,"134,300"
ALKS,Alkermes Plc,18.24,"777,200"
ALLK,Allakos Inc,101.4,"235,000"
ALLO,Allogene Therapeutics Inc,31.23,"782,800"
ALLT,Allot Communications,9.890,"94,900"
ALNA,Allena Pharmaceuticals Inc,1.370,"241,500"
ALNY,Alnylam Pharmaceuticals,124.7,"425,600"
